Well_ID	Case_note	Datum_TVD	Lat_NAD83	Long_NAD83	KB_El_masl	Pore1_Nolte_linear	Pore2_Nolte_radial	Pore3_Craig_linear	Pore4_Craig_radial	Log_P_vs_Log_t_1	Sh_reported	Sh_G_func	Log_P_vs_Log_t_2	Sh_dt_sqrt	P_vs_Log_t_high	P_vs_Log_t_low	Publisher
102/10-09-062-23W5/00	7276622	3608	54.351362	-117.384588	979	72673	73681	72635	73623	76153			75887		76220	75810	Alberta Geological Survey
100/01-18-060-20W5/00	7285833	3420	54.183629	-116.980177	964	59661	62765	58461	62233	71702	71316	70524	69244	70617	69308	72378	Alberta Geological Survey
100/13-17-043-04W5/02	7320648	2777	52.712606	-114.552426	961	45533	47312	45074	46904	49602		52011	51443	52515	52500	50033	Alberta Geological Survey
1W0/04-09-057-18W5/00	7328579	3542	53.907220	-116.627242	1134	63320	65274	62298	65057	71197	70631	70137	69151	70420	71313	69052	Alberta Geological Survey
100/15-09-063-20W5/00	7336866	3127	54.442202	-116.960594	835	55772	57265	55422	57289	61005	60374	60171	59518	60213	61087	59508	Alberta Geological Survey
100/11-05-043-06W5/02		3213	52.679946	-114.836297	1027	52041	52181	51258	52095			56714		56947			Alberta Geological Survey
103/07-22-062-18W5/02	7338011	3019	54.375182	-116.613159	907	48622	49142	48129	49132	52469	52731	52672	51777	53011	52529	51850	Alberta Geological Survey
100/12-26-059-20W5/02	7350935	3452	54.132043	-116.895064	1035	61993	63506	61743	63407	67981	67524	67524	66193	68258	66305	68060	Alberta Geological Survey
102/11-08-062-24W5/00	7368758	3811	54.349869	-117.567923	1065	81011	82241	82097	82315	83624		83453	83783	83465	83763	83617	Alberta Geological Survey
103/07-22-062-18W5/02	7372548	3018	54.375182	-116.613159	907	49620	50622	49633	50686	53384	52731	52678	51931	52698	53449	51880	Alberta Geological Survey
100/03-06-043-07W5/02	7374897	3327	52.669684	-115.007795	986	57230	59023	57207	59241	71154	61859	69707	69044	69586	70780	69277	Alberta Geological Survey
100/06-09-063-23W5/02	7378724	3447	54.433658	-117.418717	855	61878	63387	61807	63187	67272		65978	64576	65815	66085	64873	Alberta Geological Survey
103/13-33-061-18W5/00	7380139	3061	54.325251	-116.648700	924	47489	47900	47389	47938	50257		49520	49966	49516	50257	50039	Alberta Geological Survey
100/02-22-063-20W5/00	7381562	3105	54.460063	-116.933273	835	54183	55709	54617	55762	58081	59602	59562	59740	59562	59714	58144	Alberta Geological Survey
100/01-36-061-22W5/00	7383182	3478	54.315474	-117.152207	965	59924	62994	59972	62909	68047	72566	67527	66255	67594	68040	66483	Alberta Geological Survey
1S0/02-16-062-20W5/02	7383191	3214	54.356071	-116.937787	870	56339	57122	56299	57161	60750	62712	60228	59436	60489	60767	59545	Alberta Geological Survey
100/06-11-063-19W5/00	7393775	2962	54.441573	-116.767948	781	55994	56790	55922	56931	58424		58928	58720	58975	58770	58403	Alberta Geological Survey
102/04-11-063-19W5/00	7393815	2966	54.430223	-116.770732	786	54660	55624	54739	55686	57675		57419	57552	57784	57671	57484	Alberta Geological Survey
102/03-19-063-19W5/00	7394030	3007	54.460764	-116.867437	790	51396	52894	51503	53096	56159		55332	55151	55428	56214	55257	Alberta Geological Survey
100/03-28-038-06W5/02	7411294	3454	52.290478	-114.803684	1007	64100	66479	64452	66639	73784	71581	73090	73545	73316	74192	73434	Alberta Geological Survey
102/04-33-041-05W5/00	7418802	3094	52.569975	-114.669552	983	54870	56079	55043	56115	61780	60539	60113	58352	60152	61745	59094	Alberta Geological Survey
100/09-31-061-24W5/00	7422251	3856	54.319985	-117.577305	1068	76252	79521	75054	79038	85090	83077	84684	84112	84485	84902	84045	Alberta Geological Survey
100/04-25-064-20W5/00	7427790	2957	54.561522	-116.896358	787	49026	49642	49005	49624	51985	52005	51998	51036	52047	52171	51016	Alberta Geological Survey
100/12-27-062-18W5/00	7439918	2925	54.394187	-116.620598	830	51852	52497	50572	51820	54564	54137	54012	54212	54336	54540	54144	Alberta Geological Survey
100/03-03-063-16W5/00	7439936	2938	54.415833	-116.335816	1015	47777	48434	47684	48363	49836	49601	49558	49532	49576	49548	49852	Alberta Geological Survey
100/05-19-063-18W5/02		2884	54.463573	-116.720169	773						47209	47209					Alberta Geological Survey
102/03-21-063-18W5/00		2973	54.460701	-116.664997	782		45678				51226	51226					Alberta Geological Survey
100/05-11-063-20W5/00		3062	54.433902	-116.921854	803		56887				60527	60527					Alberta Geological Survey
100/01-27-062-17W5/00	7465454	2946	54.386712	-116.454408	937	46889	49061	47063	48904	53826		54101	54348	54135	54334	53926	Alberta Geological Survey
100/03-06-042-05W5/02	7465826	3159	52.583598	-114.709678	1030	55295	56571	55117	56500	60343	59997	60017	58835	60261	60524	58875	Alberta Geological Survey
100/12-26-060-18W5/00	7469683	3126	54.218740	-116.598844	938	51668	53326	52786	50345	55812	55989	55882	55127	55882	56170	55125	Alberta Geological Survey
102/16-21-60-20W5/00	7473852	3360	54.207438	-116.929021	931	61845	64097	61870	63869	69595	71357	69193	67019	69466	69472	67316	Alberta Geological Survey
100/13-17-043-04W5/02	7479822	2897	52.712606	-114.552426	961	45459	47093	44932	46985	52507	53376	52375	49198	52174	52473	49751	Alberta Geological Survey
100/13-01-064-26W5/02	7491707	3677	54.514416	-117.806931	871	69935	70904	69561	70866	73895	73915	73981	72613	74007	74266	72416	Alberta Geological Survey
100/16-13-067-06W6/02	7498704	2634	54.805502	-118.766357	734	31632	32298	31566	32500	40373		40034	37342	40058	40850	38972	Alberta Geological Survey
100/01-11-034-24W4/02	7506569	2157	51.899046	-113.294130	872	33641	35595	33283	35754	42986	39443	44082	44083	44041	44187	43121	Alberta Geological Survey
100/05-27-046-03W5/01	7517586	2598	52.993952	-114.361540	976	31402	32742	31095	32630	38204	38123	38123	35632	38322	38553	35764	Alberta Geological Survey
102/10-02-046-04W5/01	7517594	2738	52.939589	-114.469090	1004	39426	40221	39065	40335	44258	43739	43455	43015	43531	44735	42794	Alberta Geological Survey
102/06-10-046-03W5/02	7526554	2634	52.950458	-114.356581	984	39361	40901	39034	40749	44618	44477	44442	43840	44432	44747	43865	Alberta Geological Survey
102/06-20-046-03W5/00	7526574	2645	52.980092	-114.405572	984	39891	40333	40017	40278	43800	43052	43052	42502	43164	43730	42810	Alberta Geological Survey
102/05-11-063-20W5/00		3113	54.433017	-116.921300	842		56791				63276	63276					Alberta Geological Survey
103/13-23-063-24W5/00		3528	54.471964	-117.526535	873		65535		65571		71957	71957					Alberta Geological Survey
100/12-02-063-24W5/00	7540864	3529	54.424571	-117.529107	860	63883	65061	63727	65032	69457	68805	68721	67518	68760	69554	67531	Alberta Geological Survey
