Well_ID	Test_type	Case_note	Lat_NAD83	Long_NAD83	KB_El_masl	Datum_TVD	Pore_static_gradient	Reported_pore_initial	Reported_pore_average	Buildup_linear	Buildup_radial	Buildup_bi-linear	Publisher
100/07-35-064-27W5/00	static gradient	5310616	54.35136	-117.38459	979	1748	19775						Alberta Geological Survey
100/05-27-046-03W5/00	buildup	7157587	52.99395	-114.36154	976	2598	31635			35340	32960	34002	Alberta Geological Survey
100/15-33-060-20W5/00	static gradient	7233650	54.23865	-116.93862	898	3301	58013						Alberta Geological Survey
100/03-13-060-20W5/00	flow and buildup	7235410	54.18355	-116.86702	898	3298				62772	53731	55674	Alberta Geological Survey
100/14-16-062-21W5/00	static gradient	7260428	54.36941	-117.09336	845	3278	55503						Alberta Geological Survey
100/14-16-062-21W5/00	static gradient	7260508	54.36941	-117.09336	845	3278	50904						Alberta Geological Survey
100/13-36-060-20W5/00	deliverability and buildup	7308416	54.23779	-116.87370	1038	3402			60462	61443	58851		Alberta Geological Survey
100/13-36-060-20W5/00	static gradient	7308419	54.23779	-116.87370	1038	3405	55498						Alberta Geological Survey
100/13-17-043-04W5/02	static gradient	7320650	52.71261	-114.55243	961	2882	50334						Alberta Geological Survey
102/13-22-062-21W5/00	static gradient	7321902	54.38176	-117.07294	877	3287	55587						Alberta Geological Survey
100/11-25-060-18W5/00	static gradient	7335018	54.22071	-116.56607	885	3055	36785						Alberta Geological Survey
100/11-25-060-18W5/00	flow and buildup	7335020	54.22071	-116.56607	885	3055				36997	30202	32252	Alberta Geological Survey
100/09-24-044-10W5/02	static gradient	7340209	52.80871	-115.30964	983	3417	62953						Alberta Geological Survey
100/11-05-043-06W5/02	flow and buildup	7341783	52.67995	-114.83630	1027	3079		51796	52134				Alberta Geological Survey
100/10-17-045-06W5/00	static gradient	7351005	52.88088	-114.82952	985	3011	38117						Alberta Geological Survey
100/10-17-045-06W5/00	static gradient	7351256	52.88088	-114.82952	985	3003	31073						Alberta Geological Survey
100/09-34-062-17W5/00	static gradient	7351430	54.40983	-116.45713	935	2938		44920					Alberta Geological Survey
100/04-03-064-21W5/02	flow and buildup	7360955	54.50330	-117.09630	763	3092				57284	53740	55650	Alberta Geological Survey
100/05-11-060-20W5/02	buildup	7368760	54.17210	-116.89650	897	3312		57900	56647	57259	56650	58300	Alberta Geological Survey
100/05-11-060-20W5/02	static gradient	7368762	54.17210	-116.89650	897	3311	56621						Alberta Geological Survey
100/08-15-062-18W5/00	static gradient	7372552	54.35991	-116.60363	907	3020	45656						Alberta Geological Survey
100/09-31-060-19W5/00	buildup	7376521	54.23572	-116.82704	1040	3375		58600	58030	60622	55548	58147	Alberta Geological Survey
100/09-31-060-19W5/00	static gradient	7376527	54.23572	-116.82704	1040	3359	50860						Alberta Geological Survey
100/01-01-060-18W5/00	static gradient	7385341	54.15451	-116.55567	805	3006	29273						Alberta Geological Survey
100/01-01-060-18W5/00	flow and buildup	7385345	54.15451	-116.55567	805	3006				30882	29035	29915	Alberta Geological Survey
102/16-18-060-17W5/00	static gradient	7385348	54.19240	-116.52980	885	3032	40331						Alberta Geological Survey
1S0/02-16-062-20W5/03	buildup	7390454	54.35607	-116.93779	870	3216		59700	59579	55905	54047	54327	Alberta Geological Survey
100/03-21-063-18W5/00	static gradient	7408504	54.45987	-116.66247	782	2865	51279						Alberta Geological Survey
100/03-21-063-18W5/00	static gradient	7427307	54.45987	-116.66247	782	2865	42752						Alberta Geological Survey
100/12-26-060-18W5/01	flow and buildup	7448122	54.21874	-116.59884	938	3111				48571	46624	47813	Alberta Geological Survey
102/05-11-063-20W5/01	static gradient		54.43302	-116.92130	842	3175	56732						Alberta Geological Survey
100/12-26-060-18W5/02	static gradient		54.21874	-116.59884	938	3111	47429						Alberta Geological Survey
100/08-32-046-09W5/00	flow and buildup	7403950	53.00788	-115.26055	885	3140				51314	48919	49829	Alberta Geological Survey
102/10-02-046-04W5/00	static gradient		52.93959	-114.46909	1004	2738	40971						Alberta Geological Survey
102/10-02-046-04W5/02	static gradient		52.93959	-114.46909	1004	2735	37547						Alberta Geological Survey
102/10-02-046-04W5/03	buildup	7517600	52.93959	-114.46909	1004	2738		39491	39317	39265	38376	38609	Alberta Geological Survey
102/06-20-046-03W5/02	post-frac buildup	7526579	52.98009	-114.40557	984	2643		35120	35059	38182	35884	37476	Alberta Geological Survey
102/06-10-046-03W5/03	buildup	7526564	52.95046	-114.35658	984	2638		36578	36515	39151	36622	37247	Alberta Geological Survey
100/01-11-034-24W4/01	buildup	7506568	51.89905	-113.29413	872	2166		29950	29425	29053	28852	29276	Alberta Geological Survey
102/16-21-60-20W5/00	static gradient	7343954	54.20744	-116.92902	931	3367	65248						Alberta Geological Survey
100/09-31-061-24W5/01	static gradient		54.31999	-117.57731	1068	3856	45096						Alberta Geological Survey
102/06-10-046-03W5/04	static gradient		52.95046	-114.35658	984	2639	35454						Alberta Geological Survey
