Lat_NAD83	Long_NAD83	Datum_El	Vertical_stress	Publisher
53.50	-116.00	-2296	77516	Alberta Geological Survey
53.50	-115.98	-2282	76988	Alberta Geological Survey
53.50	-115.96	-2268	76451	Alberta Geological Survey
53.50	-115.94	-2253	75909	Alberta Geological Survey
53.50	-115.92	-2239	75363	Alberta Geological Survey
53.50	-115.90	-2226	74813	Alberta Geological Survey
53.50	-115.88	-2212	74258	Alberta Geological Survey
53.50	-115.86	-2199	73696	Alberta Geological Survey
53.50	-115.84	-2185	73139	Alberta Geological Survey
53.50	-115.82	-2173	72581	Alberta Geological Survey
53.50	-115.80	-2160	72022	Alberta Geological Survey
53.50	-115.78	-2148	71462	Alberta Geological Survey
53.50	-115.76	-2136	70895	Alberta Geological Survey
53.50	-115.74	-2124	70319	Alberta Geological Survey
53.50	-115.72	-2111	69738	Alberta Geological Survey
53.50	-115.70	-2099	69158	Alberta Geological Survey
53.50	-115.68	-2087	68591	Alberta Geological Survey
53.50	-115.66	-2075	68036	Alberta Geological Survey
53.50	-115.64	-2063	67496	Alberta Geological Survey
53.50	-115.62	-2052	66983	Alberta Geological Survey
53.50	-115.60	-2040	66482	Alberta Geological Survey
53.50	-115.58	-2028	65994	Alberta Geological Survey
53.50	-115.56	-2016	65510	Alberta Geological Survey
53.50	-115.54	-2004	65037	Alberta Geological Survey
53.50	-115.52	-1993	64576	Alberta Geological Survey
53.50	-115.50	-1981	64127	Alberta Geological Survey
53.52	-116.00	-2282	77167	Alberta Geological Survey
53.52	-115.98	-2267	76610	Alberta Geological Survey
53.52	-115.96	-2251	76050	Alberta Geological Survey
53.52	-115.94	-2236	75493	Alberta Geological Survey
53.52	-115.92	-2222	74944	Alberta Geological Survey
53.52	-115.90	-2208	74402	Alberta Geological Survey
53.52	-115.88	-2195	73859	Alberta Geological Survey
53.52	-115.86	-2182	73316	Alberta Geological Survey
53.52	-115.84	-2168	72768	Alberta Geological Survey
53.52	-115.82	-2156	72241	Alberta Geological Survey
53.52	-115.80	-2144	71716	Alberta Geological Survey
53.52	-115.78	-2132	71182	Alberta Geological Survey
53.52	-115.76	-2120	70642	Alberta Geological Survey
53.52	-115.74	-2108	70093	Alberta Geological Survey
53.52	-115.72	-2095	69543	Alberta Geological Survey
53.52	-115.70	-2083	68992	Alberta Geological Survey
53.52	-115.68	-2072	68448	Alberta Geological Survey
53.52	-115.66	-2060	67915	Alberta Geological Survey
53.52	-115.64	-2048	67397	Alberta Geological Survey
53.52	-115.62	-2036	66899	Alberta Geological Survey
53.52	-115.60	-2024	66412	Alberta Geological Survey
53.52	-115.58	-2013	65926	Alberta Geological Survey
53.52	-115.56	-2001	65441	Alberta Geological Survey
53.52	-115.54	-1989	64965	Alberta Geological Survey
53.52	-115.52	-1978	64502	Alberta Geological Survey
53.52	-115.50	-1966	64052	Alberta Geological Survey
53.54	-115.98	-2250	76199	Alberta Geological Survey
53.54	-115.96	-2234	75629	Alberta Geological Survey
53.54	-115.94	-2219	75076	Alberta Geological Survey
53.54	-115.92	-2205	74540	Alberta Geological Survey
53.54	-115.90	-2192	74015	Alberta Geological Survey
53.54	-115.88	-2179	73490	Alberta Geological Survey
53.54	-115.86	-2166	72970	Alberta Geological Survey
53.54	-115.84	-2153	72444	Alberta Geological Survey
53.54	-115.82	-2141	71925	Alberta Geological Survey
53.54	-115.80	-2129	71413	Alberta Geological Survey
53.54	-115.78	-2116	70900	Alberta Geological Survey
53.54	-115.76	-2104	70379	Alberta Geological Survey
53.54	-115.74	-2092	69857	Alberta Geological Survey
53.54	-115.72	-2080	69333	Alberta Geological Survey
53.54	-115.70	-2068	68812	Alberta Geological Survey
53.54	-115.68	-2056	68289	Alberta Geological Survey
53.54	-115.66	-2044	67774	Alberta Geological Survey
53.54	-115.64	-2033	67281	Alberta Geological Survey
53.54	-115.62	-2021	66797	Alberta Geological Survey
53.54	-115.60	-2009	66319	Alberta Geological Survey
53.54	-115.58	-1998	65837	Alberta Geological Survey
53.54	-115.56	-1986	65359	Alberta Geological Survey
53.54	-115.54	-1975	64886	Alberta Geological Survey
53.54	-115.52	-1963	64425	Alberta Geological Survey
53.54	-115.50	-1951	63974	Alberta Geological Survey
53.56	-115.94	-2201	74656	Alberta Geological Survey
53.56	-115.92	-2188	74166	Alberta Geological Survey
53.56	-115.90	-2176	73669	Alberta Geological Survey
53.56	-115.88	-2164	73167	Alberta Geological Survey
53.56	-115.86	-2151	72660	Alberta Geological Survey
53.56	-115.84	-2139	72147	Alberta Geological Survey
53.56	-115.82	-2127	71639	Alberta Geological Survey
53.56	-115.80	-2114	71134	Alberta Geological Survey
53.56	-115.78	-2102	70627	Alberta Geological Survey
53.56	-115.76	-2089	70118	Alberta Geological Survey
53.56	-115.74	-2077	69608	Alberta Geological Survey
53.56	-115.72	-2065	69099	Alberta Geological Survey
53.56	-115.70	-2053	68598	Alberta Geological Survey
53.56	-115.68	-2041	68101	Alberta Geological Survey
53.56	-115.66	-2029	67613	Alberta Geological Survey
53.56	-115.64	-2018	67143	Alberta Geological Survey
53.56	-115.62	-2006	66679	Alberta Geological Survey
53.56	-115.60	-1995	66216	Alberta Geological Survey
53.56	-115.58	-1983	65746	Alberta Geological Survey
53.56	-115.56	-1972	65277	Alberta Geological Survey
53.56	-115.54	-1960	64810	Alberta Geological Survey
53.56	-115.52	-1949	64350	Alberta Geological Survey
53.56	-115.50	-1937	63896	Alberta Geological Survey
53.58	-115.90	-2162	73377	Alberta Geological Survey
53.58	-115.88	-2150	72890	Alberta Geological Survey
53.58	-115.86	-2137	72396	Alberta Geological Survey
53.58	-115.84	-2125	71899	Alberta Geological Survey
53.58	-115.82	-2113	71398	Alberta Geological Survey
53.58	-115.80	-2100	70895	Alberta Geological Survey
53.58	-115.78	-2088	70392	Alberta Geological Survey
53.58	-115.76	-2075	69892	Alberta Geological Survey
53.58	-115.74	-2063	69393	Alberta Geological Survey
53.58	-115.72	-2051	68894	Alberta Geological Survey
53.58	-115.70	-2038	68393	Alberta Geological Survey
53.58	-115.68	-2027	67907	Alberta Geological Survey
53.58	-115.66	-2015	67441	Alberta Geological Survey
53.58	-115.64	-2004	66982	Alberta Geological Survey
53.58	-115.62	-1992	66530	Alberta Geological Survey
53.58	-115.60	-1981	66075	Alberta Geological Survey
53.58	-115.58	-1969	65621	Alberta Geological Survey
53.58	-115.56	-1958	65166	Alberta Geological Survey
53.58	-115.54	-1946	64714	Alberta Geological Survey
53.58	-115.52	-1935	64263	Alberta Geological Survey
53.58	-115.50	-1923	63817	Alberta Geological Survey
53.60	-115.84	-2112	71670	Alberta Geological Survey
53.60	-115.82	-2100	71183	Alberta Geological Survey
53.60	-115.80	-2087	70687	Alberta Geological Survey
53.60	-115.78	-2075	70190	Alberta Geological Survey
53.60	-115.76	-2062	69694	Alberta Geological Survey
53.60	-115.74	-2050	69201	Alberta Geological Survey
53.60	-115.72	-2037	68713	Alberta Geological Survey
53.60	-115.70	-2025	68227	Alberta Geological Survey
53.60	-115.68	-2013	67755	Alberta Geological Survey
53.60	-115.66	-2001	67301	Alberta Geological Survey
53.60	-115.64	-1990	66848	Alberta Geological Survey
53.60	-115.62	-1978	66397	Alberta Geological Survey
53.60	-115.60	-1967	65944	Alberta Geological Survey
53.60	-115.58	-1955	65497	Alberta Geological Survey
53.60	-115.56	-1944	65051	Alberta Geological Survey
53.60	-115.54	-1933	64610	Alberta Geological Survey
53.60	-115.52	-1921	64170	Alberta Geological Survey
53.60	-115.50	-1910	63730	Alberta Geological Survey
53.62	-115.76	-2049	69509	Alberta Geological Survey
53.62	-115.74	-2037	69029	Alberta Geological Survey
53.62	-115.72	-2024	68554	Alberta Geological Survey
53.62	-115.70	-2012	68086	Alberta Geological Survey
53.62	-115.68	-2000	67628	Alberta Geological Survey
53.62	-115.66	-1988	67179	Alberta Geological Survey
53.62	-115.64	-1977	66734	Alberta Geological Survey
53.62	-115.62	-1965	66286	Alberta Geological Survey
53.62	-115.60	-1954	65838	Alberta Geological Survey
53.62	-115.58	-1942	65395	Alberta Geological Survey
53.62	-115.56	-1931	64958	Alberta Geological Survey
53.62	-115.54	-1919	64523	Alberta Geological Survey
53.62	-115.52	-1908	64091	Alberta Geological Survey
53.62	-115.50	-1896	63661	Alberta Geological Survey
53.64	-117.52	-3444	118450	Alberta Geological Survey
53.64	-117.50	-3423	117653	Alberta Geological Survey
53.64	-117.48	-3401	116839	Alberta Geological Survey
53.64	-117.46	-3380	116018	Alberta Geological Survey
53.64	-117.44	-3358	115202	Alberta Geological Survey
53.64	-117.42	-3337	114401	Alberta Geological Survey
53.64	-117.40	-3317	113626	Alberta Geological Survey
53.64	-117.38	-3297	112899	Alberta Geological Survey
53.64	-117.36	-3280	112235	Alberta Geological Survey
53.64	-116.44	-2516	84416	Alberta Geological Survey
53.64	-116.42	-2503	84060	Alberta Geological Survey
53.64	-116.40	-2490	83679	Alberta Geological Survey
53.64	-116.38	-2476	83273	Alberta Geological Survey
53.64	-116.36	-2460	82841	Alberta Geological Survey
53.64	-116.34	-2443	82391	Alberta Geological Survey
53.64	-116.32	-2426	81923	Alberta Geological Survey
53.64	-116.30	-2410	81444	Alberta Geological Survey
53.64	-115.64	-1964	66604	Alberta Geological Survey
53.64	-115.62	-1952	66163	Alberta Geological Survey
53.64	-115.60	-1941	65725	Alberta Geological Survey
53.64	-115.58	-1929	65289	Alberta Geological Survey
53.64	-115.56	-1918	64863	Alberta Geological Survey
53.64	-115.54	-1906	64438	Alberta Geological Survey
53.64	-115.52	-1895	64014	Alberta Geological Survey
53.64	-115.50	-1883	63597	Alberta Geological Survey
53.66	-117.60	-3512	120915	Alberta Geological Survey
53.66	-117.58	-3489	120127	Alberta Geological Survey
53.66	-117.56	-3467	119340	Alberta Geological Survey
53.66	-117.54	-3445	118555	Alberta Geological Survey
53.66	-117.52	-3422	117756	Alberta Geological Survey
53.66	-117.50	-3400	116929	Alberta Geological Survey
53.66	-117.48	-3378	116083	Alberta Geological Survey
53.66	-117.46	-3356	115236	Alberta Geological Survey
53.66	-117.44	-3335	114403	Alberta Geological Survey
53.66	-117.42	-3313	113596	Alberta Geological Survey
53.66	-117.40	-3292	112824	Alberta Geological Survey
53.66	-117.38	-3273	112111	Alberta Geological Survey
53.66	-117.36	-3255	111454	Alberta Geological Survey
53.66	-116.40	-2468	83139	Alberta Geological Survey
53.66	-116.38	-2455	82767	Alberta Geological Survey
53.66	-116.36	-2440	82323	Alberta Geological Survey
53.66	-116.34	-2422	81850	Alberta Geological Survey
53.66	-116.32	-2405	81385	Alberta Geological Survey
53.66	-116.30	-2389	80923	Alberta Geological Survey
53.66	-116.28	-2373	80474	Alberta Geological Survey
53.66	-116.26	-2358	80047	Alberta Geological Survey
